Id,CourseType,Name,Description,Notes,ExternalId,AccessDate,ExpireType,ExpireDuration,ExpiryDate,ActiveStatus,TagIds,ResourceIds,EditorIds,Prices,CompetencyDefinitionIds,PrerequisiteCourseIds,PostEnrollmentCourseIds,AllowCourseEvaluation,CategoryId,CertificateUrl,Audience,Goals,Vendor,CompanyCost,LearnerCost,CompanyTime,LearnerTime,DateEdited,DateAdded,Category,deeplink
aef2f5fb-0add-4143-b4ec-c9156ad94fad,OnlineCourse,Adverse Effects of Antiretroviral Agents (G.Learn Course 1359334),This module provides an overview of the current treatment of HIV and potential adverse effects of Antiretroviral Agents.,None,G.Learn 1359334,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '86c64451-62cc-4104-9d79-d40963c03026']",[],[],[],[],[],[],False,1efea276-02a4-46fa-a5e5-05ddfe2cfc15,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T17:02:08.2,2018-09-19T17:44:09.703,HIV Treatment,https://gilead.myabsorb.com/#/online-courses/aef2f5fb-0add-4143-b4ec-c9156ad94fad
3865714b-dde8-425b-a58a-9815599b1bec,OnlineCourse,Antiretroviral Agents (G.Learn Course 1359331),"This module provides an overview of the current treatment of HIV. The course begins with a brief lesson regarding the single-tablet regimens (STRs) currently on the market and the current classes of ARV agents. Next, it covers each ARV class in detail, from mechanisms of action, to the specific products currently on the market. Following is an in-depth discussion of past and present clinical trials, comparing different classes of ARV agents in the treatment of HIV. Finally, the module concludes with a brief discussion regarding ARV agents currently in development.",None,G.Learn 1359331,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '86c64451-62cc-4104-9d79-d40963c03026']",[],[],[],[],[],[],False,1efea276-02a4-46fa-a5e5-05ddfe2cfc15,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:58:30.05,2018-09-19T17:04:06.637,HIV Treatment,https://gilead.myabsorb.com/#/online-courses/3865714b-dde8-425b-a58a-9815599b1bec
68c8a37b-23ee-4ce2-8e6f-053dc909879d,OnlineCourse,Antiretroviral Therapy Toxicity (G.Learn Course 1368330),"In this Medical Affairs Lecture Series presentation, Elijah Paintsil (Yale School of Medicine) provides an overview of potential mechanisms for antiretroviral therapy toxicity, focusing on the effect of ART on mitochondrion, Pol-gamma-dependent and Pol-gamma-independent inhibition, and future studies.",None,G.Learn 1368330,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '86c64451-62cc-4104-9d79-d40963c03026']",[],[],[],[],[],[],False,1efea276-02a4-46fa-a5e5-05ddfe2cfc15,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T17:03:30.92,2018-09-19T17:57:56.447,HIV Treatment,https://gilead.myabsorb.com/#/online-courses/68c8a37b-23ee-4ce2-8e6f-053dc909879d
b002c729-7d26-41d1-8c75-50a70d84c879,OnlineCourse,AOEM_WW_HIV_Training Bulletin – Understanding HIV Laboratory Tests (G.Learn Course 1404330),This module provides an overview of laboratory tests performed for HIV.,Purpose: To learn about HIV related Laboratory Tests.,G.Learn 1404330,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05']",[],[],[],[],[],[],False,f18d51b2-7c9a-4c4d-a40d-28fd7140922f,None,ClinOps Development,None,Suzi Saroukhanians / Jami Petrie,None,None,None,None,2023-05-25T16:54:50.887,2022-03-18T15:41:01.473,HIV Basics,https://gilead.myabsorb.com/#/online-courses/b002c729-7d26-41d1-8c75-50a70d84c879
74cd1ede-0e03-45d7-8523-f84f41d4ec43,OnlineCourse,ART Issues with Adherence and Resistance (G.Learn Course 1368329),"This module provides an overview of how adherence and resistance to the drugs used in treatment of HIV affect the patient’s course of disease. The course begins with a brief introduction to adherence, the pattern it follows through the course of treatment, and the reasons patients give for non-adherence. Next, it covers the consequences of adherence and methods employed to improve it. Following is a discussion of drug-resistance, what it is and how it affects the patient. The course continues by explaining how to test for resistance and the four identified types of resistance. Finally, the module concludes with a brief discussion regarding genetic barriers to resistance.",None,G.Learn 1368329,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05']",[],[],[],[],[],[],False,1efea276-02a4-46fa-a5e5-05ddfe2cfc15,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:59:24.77,2018-09-19T17:30:42.817,HIV Treatment,https://gilead.myabsorb.com/#/online-courses/74cd1ede-0e03-45d7-8523-f84f41d4ec43
00118781-c679-4ea7-993c-298d1fbecb6f,OnlineCourse,Diagnosis of HBV Infection (G.Learn Course 1433329),"This module provides an overview of the steps for testing for and diagnosing HBV. The course begins with a brief explanation of the type of physical exam required to test for HBV and how HBV can be identified in the clinic. Next, it covers in detail each of the tests currently used in the lab to test for HBV infection. It goes on to describe various scoring and classification systems utilized for HBV diagnosis and treatment. Finally, the module concludes with a brief discussion of HBV’s characteristic serologic and molecular markers, and how to test for resistance by identification of those.",None,G.Learn 1433328,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['2af40fd2-786b-41a5-b6da-0c2c6906f871', '5f16c4b7-b4dc-409d-8efb-64c0e0b82717', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '31e10bc7-d01d-4a06-a45a-c37855454db0']",[],[],[],[],[],[],False,c91f3057-f220-4e32-a713-c204378f0bfe,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:52:57.767,2018-09-19T00:23:34.433,Hepatitis B Virus (HBV),https://gilead.myabsorb.com/#/online-courses/00118781-c679-4ea7-993c-298d1fbecb6f
175a8a34-eeef-49dc-b3ba-f18dcd64000f,OnlineCourse,Diagnosis of HCV Infection (G.Learn Course 1289348),"The course begins with an overview of the clinical presentation of a patient with hepatitis C. The course then examines the diagnostic approach of HCV, including the diagnostic algorithm used by physicians. The course progresses with an in-depth look at the types of tests used in diagnosis. The course continues with a discussion of the histologic findings in HCV patients and the different scales used to classify those findings. Finally, the course concludes with a few real-life scenarios to test the understanding of the material throughout the course.",None,G.Learn 1433328,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['5f16c4b7-b4dc-409d-8efb-64c0e0b82717', 'cc68418d-58d0-4312-b1cc-86ce35bb363d', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '31e10bc7-d01d-4a06-a45a-c37855454db0']",[],[],[],[],[],[],False,c1cca776-e250-4fb5-86dd-f425af1a1bdd,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:54:57.69,2018-09-19T16:01:08.16,Hepatitis C Virus (HCV),https://gilead.myabsorb.com/#/online-courses/175a8a34-eeef-49dc-b3ba-f18dcd64000f
14272123-a024-487f-822d-62d5d33be370,OnlineCourse,Diagnosis of HIV Infection and AIDS (G.Learn Course 1359330),"This module provides an overview of the process of diagnosing HIV. The course begins with a high-level overview of the goals of the diagnostic process of HIV and the tests used to diagnose a patient with HIV infection. Next, it specifically covers different HIV antibody tests, which are used to determine the presence of HIV. Following is a brief discussion of CD4 cell count and viral load and how they both are used to monitor prognosis. Another lesson covers tests that can be used to identify drug-resistance. Finally, the module concludes with a brief discussion about resistance assays and their utilization in clinical practice.",None,G.Learn 1359330,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05']",[],[],[],[],[],[],False,f18d51b2-7c9a-4c4d-a40d-28fd7140922f,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:57:46.76,2018-09-19T16:58:09.9,HIV Basics,https://gilead.myabsorb.com/#/online-courses/14272123-a024-487f-822d-62d5d33be370
fee4752d-3743-48a4-90c5-2295e803b815,OnlineCourse,Gilead Product Overviews (G.Learn Course 1878353),High level information on Gilead products from the Medical Affairs team.,None,G.Learn 1878353,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['14f40308-fb86-4da1-83f1-18b772359a1a', '693d47a7-2c68-4056-9889-a012657c6670', 'b283c10c-8178-45a4-9f0d-cf39b751b186']",[],[],[],[],[],[],False,94c64628-3cd8-41da-a329-e3ff7c116c12,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T17:11:28.38,2021-12-13T17:59:54.523,Gilead Onboarding,https://gilead.myabsorb.com/#/online-courses/fee4752d-3743-48a4-90c5-2295e803b815
a3c2d24d-d260-4dfc-889f-d6ba4dbc3b3c,OnlineCourse,"HBV - Liver Anatomy, Physiology, and Histology (G.Learn Course 1433326)","This module provides an overview of the liver and its overall function. The course begins with a high-level overview of the anatomy of the liver and its role in the biliary system. Next, there is a discussion of the general function of the liver in a healthy body. The module then concludes with an overall explanation of liver histology and its responses to hepatic cell injury.",None,G.Learn 1433326,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['2af40fd2-786b-41a5-b6da-0c2c6906f871', '5f16c4b7-b4dc-409d-8efb-64c0e0b82717', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '31e10bc7-d01d-4a06-a45a-c37855454db0']",[],[],[],[],[],[],False,c91f3057-f220-4e32-a713-c204378f0bfe,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:50:07.837,2018-09-14T21:27:52.807,Hepatitis B Virus (HBV),https://gilead.myabsorb.com/#/online-courses/a3c2d24d-d260-4dfc-889f-d6ba4dbc3b3c
8de43a4c-d157-4aa2-8bf8-0a1e250f8f25,OnlineCourse,HBV Overview (G.Learn Course 1433327),"This module provides an overview of HBV, including how it can be contracted, prevented, and treated. The course begins with a high-level introduction to hepatitis, the different types of hepatitis, and how they progress. Next, there is a discussion of the modes of transmission of HBV as well as methods to prevent such transmission. The course then examines acute HBV infection – the epidemiology as well as clinical course of the disease. The course concludes with a discussion of chronic HBV – the epidemiology, clinical course, risk factors and potential complications of chronic HBV are discussed.",None,G.Learn 1433327,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['2af40fd2-786b-41a5-b6da-0c2c6906f871', '5f16c4b7-b4dc-409d-8efb-64c0e0b82717', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '31e10bc7-d01d-4a06-a45a-c37855454db0']",[],[],[],[],[],[],False,c91f3057-f220-4e32-a713-c204378f0bfe,None,ClinOps Development,None,None,None,None,None,None,2023-03-09T22:52:14.953,2018-09-14T21:33:42.363,Hepatitis B Virus (HBV),https://gilead.myabsorb.com/#/online-courses/8de43a4c-d157-4aa2-8bf8-0a1e250f8f25
b2da9448-c38a-402c-9eb1-15c6a07abbeb,OnlineCourse,"HCV Liver Anatomy, Physiology (G.Learn Course 1289346)","This module provides an overview of the liver and its overall function. The course begins with a high-level overview of the anatomy of the liver and its role in the biliary system. Next, there is a discussion of the general function of the liver in a healthy body. The module then concludes with an overall explanation of liver histology and its responses to hepatic cell injury.",None,G.Learn  1289346,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['5f16c4b7-b4dc-409d-8efb-64c0e0b82717', 'cc68418d-58d0-4312-b1cc-86ce35bb363d', '31e10bc7-d01d-4a06-a45a-c37855454db0']",[],[],[],[],[],[],False,c1cca776-e250-4fb5-86dd-f425af1a1bdd,None,ClinOps Development,None,None,None,None,None,None,2023-03-09T22:55:51.687,2018-09-17T18:06:34.343,Hepatitis C Virus (HCV),https://gilead.myabsorb.com/#/online-courses/b2da9448-c38a-402c-9eb1-15c6a07abbeb
25e1977d-7d15-45b7-9319-ffc66f89c155,OnlineCourse,HCV Overview (G.Learn Course 1289347),"This course is part of the Liver Disease Seminar Series. It provides an overview of Hepatitis C Virus (HCV) Infection and explains how it's transmitted, diagnosed and treated.",None,G.Learn 1289347,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['5f16c4b7-b4dc-409d-8efb-64c0e0b82717', 'cc68418d-58d0-4312-b1cc-86ce35bb363d', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05', '31e10bc7-d01d-4a06-a45a-c37855454db0']",[],[],[],[],[],[],False,c1cca776-e250-4fb5-86dd-f425af1a1bdd,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T17:04:17.553,2018-09-19T18:03:13.57,Hepatitis C Virus (HCV),https://gilead.myabsorb.com/#/online-courses/25e1977d-7d15-45b7-9319-ffc66f89c155
15b542fd-69fb-4c22-8032-f09c374bd80b,OnlineCourse,HIV Epidemiology (G.Learn Course 1358331),"This module provides an overview of the global HIV epidemic. The course begins with a high-level overview of global HIV statistics, including how incidence and prevalence have been changing in recent years. Next, it covers in detail the epidemiology facts for the European Union, followed by those for the United States. Finally, the module concludes with a brief discussion regarding the effects of increased access to treatment and the challenges the world still faces.",None,G.Learn 1358331,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05']",[],[],[],[],[],[],False,f18d51b2-7c9a-4c4d-a40d-28fd7140922f,None,ClinOps Development,None,None,None,None,None,None,2023-03-10T16:57:01.48,2018-09-19T16:46:38.403,HIV Basics,https://gilead.myabsorb.com/#/online-courses/15b542fd-69fb-4c22-8032-f09c374bd80b
85c5d86e-1e3a-4620-a27b-06e3b9dc3b27,OnlineCourse,HIV Overview Module (G.Learn Course 1359326),"This module will introduce you to the basics of the virus HIV.  It covers HIV and how it causes disease, the general epidemiology of HIV, and the current standard of care for HIV disease.",None,G.Learn 1359326,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,"['9cd32744-b2a3-450d-a76c-20c4ba943fa0', 'b44cdffb-8553-477b-8ba5-ab1a2c8a1a05']",[],[],[],[],[],[],False,f18d51b2-7c9a-4c4d-a40d-28fd7140922f,None,ClinOps Development,None,None,None,None,None,None,2023-03-09T22:50:13.343,2018-09-19T18:05:16.52,HIV Basics,https://gilead.myabsorb.com/#/online-courses/85c5d86e-1e3a-4620-a27b-06e3b9dc3b27
